Customer Name,Customer Site,town__city,County,Postcode,Country,Connection Status,accepted_to_connect_registered_capacity__mw_,already_connected_registered_capacity__mw_,maximum_export_capacity__mw_,maximum_import_capacity__mw_,Date Connected,Date Accepted
SSE GENERATION LIMITED,DATA NOT AVAILABLE,ISLE OF TIREE,PERTH AND KINROSS,PA77 6UP,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.665,0.665,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,ISLE OF TIREE,PERTH AND KINROSS,PA77 6UP,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.665,0.665,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,ISLE OF TIREE,PERTH AND KINROSS,PA77 6UP,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.665,0.665,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,ISLE OF TIREE,PERTH AND KINROSS,PA77 6UP,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.665,0.665,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,ISLE OF ARRAN,PERTH AND KINROSS,KA27 8DE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.19,0.19,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,GARVE,PERTH AND KINROSS,IV23 2QH,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.285,0.285,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
REDACTED,REDACTED,REDACTED,PERTH AND KINROSS,FK20 8,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.5605,0.5605,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,LOCHAY FISH PASS,KILLIN,PERTH AND KINROSS,FK21 8TX,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
REDACTED,REDACTED,REDACTED,PERTH AND KINROSS,PH36 4,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.7885,0.7885,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
GIGHA RENEWABLE ENERGY LTD,GIGHA RENEWABLE ENERGY,ISLE OF GIGHA,PERTH AND KINROSS,PA41 7AA,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.646,0.646,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SCOTTISH WATER,GLEN FINGLAS-HYDRO-EXP,CALLANDER,PERTH AND KINROSS,FK17 8HU,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
ORKNEY RENEWABLE ENERGY LIMITED,DATA NOT AVAILABLE,ORKNEY,PERTH AND KINROSS,KW17 2SY,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.8075,0.8075,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
GLEN KINGLASS HYDRO LTD,DATA NOT AVAILABLE,CAIRNDOW,PERTH AND KINROSS,PA26 8BQ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.893,0.893,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
CAMSERNEY HYDRO SCHEME LIMITED,DATA NOT AVAILABLE,ABERFELDY,PERTH AND KINROSS,PH15 2JF,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.95,0.95,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
REDACTED,REDACTED,REDACTED,PERTH AND KINROSS,PH15 2,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.3325,0.3325,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
BIOGASK BIOGAS PLANT,PRIVATE GENERATOR,TURRIFF,PERTH AND KINROSS,AB53 8BP,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.50065,0.50065,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
ABERDEEN HEAT & POWER,DATA NOT AVAILABLE,ABERDEEN,PERTH AND KINROSS,AB15 8BE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.26125,0.26125,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
HYDRO ENERGY TRADING LIMITED,FAICHEM HYDRO GENERATION,INVERGARRY,PERTH AND KINROSS,PH35 4HG,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.152,0.152,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
BROADLAND PROPERTIES LTD,CONAGLEN HOUSE,FORT WILLIAM,PERTH AND KINROSS,PH33 7AH,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.266,0.266,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
IRENE POWER COMPANY LIMITED,ROSHVEN HYDRO GENERATING STATION,LOCHAILORT,PERTH AND KINROSS,PH38 4NG,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.5225,0.5225,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
ELEMENT WIND LTD,LIONACLEIT SCHOOL,ISLE OF BENBECULA,PERTH AND KINROSS,HS7 5PJ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.9025,0.9025,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
ARDCHATTAN HYDRO LIMITED,ESRAGEN HYDRO SCHEME,OBAN,PERTH AND KINROSS,PA37 1RQ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.95,0.95,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
ROTTAL HYDRO LTD,HYDRO GENERATING STATION,KIRRIEMUIR,PERTH AND KINROSS,DD8 4QT,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.4275,0.4275,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
BALNAMOON RENEWABLES LTD,BALNAMOON WINDFARM,KEITH,PERTH AND KINROSS,AB55 6ND,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.76,0.76,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
